Number, Label, Comment, X, Y, Z, X_Toe, Y_Toe, Z_Toe, Diameter, Length, Subdrilling, Stemming, Burden, Spacing, Angle, Azimuth, WaterLevel, DetonatingTime, GlobalId, DesignCharge, InputedCharge, Row_Number, Detonators, Boosters, PathLetter
197, , , 748839.830, 8930511.090, 209.759, 748839.830, 8930511.090, 199.259, 0.127, 10.500, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 10602, 1175b112-0efb-47e3-b8c2-7fb80fd98e4f, 0.0, 128.200, 0, DVT 15 m :1 ud, , A
198, , , 748838.320, 8930513.740, 209.883, 748838.320, 8930513.740, 198.883, 0.127, 11.000, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 10682, 10f23b9e-1c77-427c-95f5-5d7d67f8d83e, 0.0, 113.700, 0, DVT 15 m :1 ud, , 
199, , , 748836.720, 8930516.240, 210.049, 748836.720, 8930516.240, 199.049, 0.127, 11.000, 0.600, 3.000, 0.000, 0.000, 0.0, 0.0, 0.000, 10760, 3e1c8665-c3f7-4b99-88f9-1a350bf44421, 0.0, 133.000, 0, DVT 15 m :1 ud, , 
200, , , 748835.120, 8930518.740, 210.264, 748835.120, 8930518.740, 199.264, 0.127, 11.000, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 10840, 51f158b7-563f-49dc-861e-4ff80e5cbfeb, 0.0, 121.900, 0, DVT 15 m :1 ud, , 
201, , , 748833.520, 8930521.240, 210.713, 748833.520, 8930521.240, 199.713, 0.127, 11.000, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 10900, 05907751-43b0-4e39-aa2c-63a403c9999b, 0.0, 137.800, 0, DVT 15 m :1 ud, , 
202, , , 748831.910, 8930523.740, 210.830, 748831.910, 8930523.740, 199.830, 0.127, 11.000, 0.600, 3.300, 0.000, 0.000, 0.0, 0.0, 0.000, 10976, bfc1a2dd-84d1-4986-933d-1d14c58d2082, 0.0, 123.200, 0, DVT 15 m :1 ud, , 
203, , , 748830.310, 8930526.240, 210.588, 748830.310, 8930526.240, 199.288, 0.127, 11.300, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 11052, d1745949-b044-46ff-a51c-e20679704e1f, 0.0, 123.800, 0, DVT 15 m :1 ud, , 
204, , , 748828.710, 8930528.740, 210.674, 748828.710, 8930528.740, 199.874, 0.127, 10.800, 0.600, 3.000, 0.000, 0.000, 0.0, 0.0, 0.000, 11128, ab0649a8-dda6-4a0e-bcce-f56dc3da6001, 0.0, 135.100, 0, DVT 15 m :1 ud, , 
205, , , 748827.100, 8930531.240, 210.767, 748827.100, 8930531.240, 200.267, 0.127, 10.500, 0.600, 3.000, 0.000, 0.000, 0.0, 0.0, 0.000, 11200, 5e31b968-9ff1-4940-9334-741a5f622a60, 0.0, 118.000, 0, DVT 15 m :1 ud, , 
206, , , 748825.500, 8930533.740, 210.832, 748825.500, 8930533.740, 199.732, 0.127, 11.100, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 11276, 93b7fdec-bd71-4b35-a861-581b559371ca, 0.0, 113.700, 0, DVT 15 m :1 ud, , 
207, , , 748823.900, 8930536.240, 210.903, 748823.900, 8930536.240, 200.003, 0.127, 10.900, 0.600, 3.000, 0.000, 0.000, 0.0, 0.0, 0.000, 11352, eeba135d-c400-4914-8ad8-6341f6283fee, 0.0, 125.900, 0, DVT 15 m :1 ud, , 
208, , , 748822.290, 8930538.740, 210.903, 748822.290, 8930538.740, 199.903, 0.127, 11.000, 0.600, 3.000, 0.000, 0.000, 0.0, 0.0, 0.000, 11428, e13301c6-3f20-44e4-a765-d37ab37ae4a4, 0.0, 140.800, 0, DVT 15 m :1 ud, , 
209, , , 748820.690, 8930541.240, 210.929, 748820.690, 8930541.240, 199.429, 0.127, 11.500, 0.600, 3.200, 0.000, 0.000, 0.0, 0.0, 0.000, 11502, fc4f5510-02d5-468d-b128-5f9d7fec18c2, 0.0, 136.100, 0, DVT 15 m :1 ud, , 
210, , , 748819.090, 8930543.740, 210.813, 748819.090, 8930543.740, 199.313, 0.127, 11.500, 0.600, 3.000, 0.000, 0.000, 0.0, 0.0, 0.000, 11578, d10f06c4-a6c6-4cda-95ce-24061409c455, 0.0, 144.600, 0, DVT 15 m :1 ud, , 
211, , , 748817.490, 8930546.240, 210.735, 748817.490, 8930546.240, 198.935, 0.127, 11.800, 0.600, 3.000, 0.000, 0.000, 0.0, 0.0, 0.000, 11654, 8adcf5f0-b408-451a-8b22-182cb6d9717e, 0.0, 122.900, 0, DVT 15 m :1 ud, , 
212, , , 748815.880, 8930548.740, 210.488, 748815.880, 8930548.740, 199.388, 0.127, 11.100, 0.600, 3.200, 0.000, 0.000, 0.0, 0.0, 0.000, 11710, 6c675405-a264-4621-bd20-02581eb730a8, 0.0, 136.100, 0, DVT 15 m :1 ud, , 
213, , , 748814.280, 8930551.240, 210.156, 748814.280, 8930551.240, 199.156, 0.127, 11.000, 0.600, 3.000, 0.000, 0.000, 0.0, 0.0, 0.000, 11780, 11572419-81c6-4baf-a921-8e30fe831688, 0.0, 136.200, 0, DVT 15 m :1 ud, , 
214, , , 748812.680, 8930553.740, 210.071, 748812.680, 8930553.740, 199.571, 0.127, 10.500, 0.600, 3.000, 0.000, 0.000, 0.0, 0.0, 0.000, 11850, f2b5a291-9770-474a-806b-26efb4166390, 0.0, 135.200, 0, DVT 15 m :1 ud, , 
215, , , 748811.070, 8930556.240, 209.950, 748811.070, 8930556.240, 199.950, 0.127, 10.000, 0.600, 3.000, 0.000, 0.000, 0.0, 0.0, 0.000, 11919, 8c9ee28e-abe3-45aa-8e88-dd8eac70217f, 0.0, 119.000, 0, DVT 15 m :1 ud, , 
216, , , 748809.470, 8930558.750, 209.665, 748809.470, 8930558.750, 199.465, 0.127, 10.200, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 11968, 6464e2e9-b9d5-498d-b3a7-79a82ec964e5, 0.0, 129.800, 0, DVT 15 m :1 ud, , B
217, , , 748807.560, 8930561.020, 209.390, 748807.560, 8930561.020, 198.890, 0.127, 10.500, 0.600, 3.000, 0.000, 0.000, 0.0, 0.0, 0.000, 12057, 7dbf9be6-c8e6-425e-ae14-4310683e785f, 0.0, 122.200, 0, DVT 15 m :1 ud, , B
218, , , 748805.480, 8930563.120, 209.887, 748805.480, 8930563.120, 199.687, 0.127, 10.200, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 3.000, 12105, fe8df6ee-e313-4d92-96f9-13cafebe632e, 0.0, 123.600, 0, DVT 15 m :1 ud, , B
219, , , 748803.230, 8930565.060, 209.840, 748803.230, 8930565.060, 199.340, 0.127, 10.500, 0.600, 3.000, 0.000, 0.000, 0.0, 0.0, 6.000, 12195, 10150cf6-4d1b-4a40-a741-b421f925d0be, 0.0, 127.300, 0, DVT 15 m :1 ud, , B
220, , , 748800.980, 8930567.000, 209.762, 748800.980, 8930567.000, 199.762, 0.127, 10.000, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 6.000, 12265, 0fe490c5-7b5d-438c-9d28-485ee0d642c4, 0.0, 131.900, 0, DVT 15 m :1 ud, , B
221, , , 748798.730, 8930568.940, 209.895, 748798.730, 8930568.940, 199.295, 0.127, 10.600, 0.600, 3.000, 0.000, 0.000, 0.0, 0.0, 0.000, 12337, d1a8109f-429f-4e54-be78-da61f784f211, 0.0, 127.600, 0, DVT 15 m :1 ud, , B
222, , , 748796.480, 8930570.880, 209.923, 748796.480, 8930570.880, 199.723, 0.127, 10.200, 0.600, 3.100, 0.000, 0.000, 0.0, 0.0, 0.000, 12385, 02dc0dfc-ea9d-45ae-98b7-0ae3f9ab23c4, 0.0, 126.800, 0, DVT 15 m :1 ud, , B
223, , , 748794.230, 8930572.810, 210.715, 748794.230, 8930572.810, 200.215, 0.127, 10.500, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 6.000, 12475, 0b27b583-542e-486e-803d-3e48df428aa2, 0.0, 125.600, 0, DVT 15 m :1 ud, , B
224, , , 748791.980, 8930574.750, 210.669, 748791.980, 8930574.750, 200.669, 0.127, 10.000, 0.600, 3.000, 0.000, 0.000, 0.0, 0.0, 0.000, 12542, 341c9b8b-0aa2-4b3b-90e6-e575cd3dff32, 0.0, 126.000, 0, DVT 15 m :1 ud, , B
225, , , 748789.730, 8930576.690, 210.044, 748789.730, 8930576.690, 199.044, 0.127, 11.000, 0.600, 3.000, 0.000, 0.000, 0.0, 0.0, 6.000, 12600, ac075eea-e741-4248-809b-9ead019013b4, 0.0, 136.400, 0, DVT 15 m :1 ud, , B
226, , , 748787.480, 8930578.630, 209.837, 748787.480, 8930578.630, 199.637, 0.127, 10.200, 0.600, 2.700, 0.000, 0.000, 0.0, 0.0, 6.000, 12665, baf3eb60-687a-4f8c-b551-dec0f3239bae, 0.0, 126.000, 0, DVT 15 m :1 ud, , B
227, , , 748785.230, 8930580.570, 209.781, 748785.230, 8930580.570, 199.381, 0.127, 10.400, 0.600, 3.200, 0.000, 0.000, 0.0, 0.0, 0.000, 12715, c3959be4-28fe-4317-9ebd-a898e7127f80, 0.0, 119.600, 0, DVT 15 m :1 ud, , B
228, , , 748782.960, 8930582.490, 209.693, 748782.960, 8930582.490, 199.693, 0.127, 10.000, 0.600, 3.000, 0.000, 0.000, 0.0, 0.0, 0.000, 12785, 48243618-cd0d-426f-b67c-d65168771da0, 0.0, 126.700, 0, DVT 15 m :1 ud, , B
229, , , 748780.630, 8930584.330, 209.788, 748780.630, 8930584.330, 199.388, 0.127, 10.400, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 12855, 0b542c47-0f1c-462d-8464-82630dc939fd, 0.0, 116.100, 0, DVT 15 m :1 ud, , B
230, , , 748778.310, 8930586.180, 209.872, 748778.310, 8930586.180, 199.872, 0.127, 10.000, 0.600, 3.500, 0.000, 0.000, 0.0, 0.0, 0.000, 12925, e00392cb-00c1-469b-9992-9504e9695a11, 0.0, 121.700, 0, DVT 15 m :1 ud, , B
231, , , 748775.980, 8930588.030, 209.900, 748775.980, 8930588.030, 200.900, 0.127, 9.000, 0.600, 2.300, 0.000, 0.000, 0.0, 0.0, 0.000, 12984, c6880453-75c6-4fb5-9a8b-3569f000b869, 0.0, 109.700, 0, DVT 15 m :1 ud, , B
232, , , 748773.650, 8930589.870, 209.963, 748773.650, 8930589.870, 198.963, 0.127, 11.000, 0.600, 3.000, 0.000, 0.000, 0.0, 0.0, 0.000, 13038, fdc03699-eff2-49d2-b63c-d480a5926e79, 0.0, 127.800, 0, DVT 15 m :1 ud, , B
233, , , 748771.330, 8930591.720, 209.996, 748771.330, 8930591.720, 199.496, 0.127, 10.500, 0.600, 3.000, 0.000, 0.000, 0.0, 0.0, 0.000, 13076, 60fdf717-25c6-4fba-a586-e42eebb70f62, 0.0, 129.300, 0, DVT 15 m :1 ud, , B
