Number, Label1, Label2, UserName, UserLogin, UTM_X, UTM_X_Real, UTM_Y, UTM_Y_Real, Length_m, Length_Real_m, Stemming_m, Stemming_Real_m, Diameter_mm, Diameter_Real_mm, Subdrilling_m, Subdrilling_Real_m, Angle_deg, Angle_Real_deg, Azimuth_deg, Azimuth_Real_deg, Total_Charge_kg, Total_Charge_Real_kg, Charge_Bulk_kg, Charge_Bulk_Real_kg, Charge_Cartridge_kg, Charge_Cartridge_Real_kg, Booster_un, Booster_Real_un, Charge_Description, waterPresence, waterColumn_m, waterColumn_Real_m, eliminated, changed, dateUpdate, Burden_m, Spacing_m, Powder_Factor, Powder_Factor_Real, Redrill, Comment, final_length_m, truck_number, number_primes_qty, number_detonators_qty, temperature_deg, density
197, , , thiago.ferreira@enaex.com, thiago.ferreira@enaex.com, 748839.830, 748839.830, 8930511.090, 8930511.090, 10.359, 10.500, 2.300, 3.500, 127, 127, 0.600, 0.600, 0.000, 0.000, 0.000, 0.000, 117.402, 128.200, 117.402, 128.200, 0.000, 0.000, 1.000, 0.000, Emulsão 1.15 = 128.2, 1, 0.000, 0.000, 0, 1, 04/07/2026. 12:30:35, 0.000, 0.000, 0.000, 0.000, , , , , , , , 0.000
198, , , thiago.ferreira@enaex.com, thiago.ferreira@enaex.com, 748838.320, 748838.320, 8930513.740, 8930513.740, 10.483, 11.000, 2.300, 3.500, 127, 127, 0.600, 0.600, 0.000, 0.000, 0.000, 0.000, 119.209, 113.700, 119.209, 113.700, 0.000, 0.000, 1.000, 0.000, Emulsão 1.15 = 113.7, 1, 0.000, 0.000, 0, 1, 30/06/2026. 19:45:29, 0.000, 0.000, 0.000, 0.000, , , , , , , , 0.000
199, , , thiago.ferreira@enaex.com, thiago.ferreira@enaex.com, 748836.720, 748836.720, 8930516.240, 8930516.240, 10.649, 11.000, 2.300, 3.000, 127, 127, 0.600, 0.600, 0.000, 0.000, 0.000, 0.000, 121.627, 133.000, 121.627, 133.000, 0.000, 0.000, 1.000, 0.000, Emulsão 1.15 = 133.0, 1, 0.000, 0.000, 0, 1, 04/07/2026. 12:30:28, 0.000, 0.000, 0.000, 0.000, , , , , , , , 0.000
200, , , thiago.ferreira@enaex.com, thiago.ferreira@enaex.com, 748835.120, 748835.120, 8930518.740, 8930518.740, 10.864, 11.000, 2.300, 3.500, 127, 127, 0.600, 0.600, 0.000, 0.000, 0.000, 0.000, 124.759, 121.900, 124.759, 121.900, 0.000, 0.000, 1.000, 0.000, Emulsão 1.15 = 121.9, 1, 0.000, 0.000, 0, 1, 30/06/2026. 19:41:59, 0.000, 0.000, 0.000, 0.000, , , , , , , , 0.000
201, , , thiago.ferreira@enaex.com, thiago.ferreira@enaex.com, 748833.520, 748833.520, 8930521.240, 8930521.240, 11.313, 11.000, 2.300, 3.500, 127, 127, 0.600, 0.600, 0.000, 0.000, 0.000, 0.000, 131.300, 137.800, 131.300, 137.800, 0.000, 0.000, 1.000, 0.000, Emulsão 1.15 = 137.8, 1, 0.000, 0.000, 0, 1, 04/07/2026. 12:30:50, 0.000, 0.000, 0.000, 0.000, , , , , , , , 0.000
202, , , thiago.ferreira@enaex.com, thiago.ferreira@enaex.com, 748831.910, 748831.910, 8930523.740, 8930523.740, 11.430, 11.000, 2.300, 3.300, 127, 127, 0.600, 0.600, 0.000, 0.000, 0.000, 0.000, 133.004, 123.200, 133.004, 123.200, 0.000, 0.000, 1.000, 0.000, Emulsão 1.15 = 123.2, 1, 0.000, 0.000, 0, 1, 30/06/2026. 19:40:03, 0.000, 0.000, 0.000, 0.000, , , , , , , , 0.000
203, , , thiago.ferreira@enaex.com, thiago.ferreira@enaex.com, 748830.310, 748830.310, 8930526.240, 8930526.240, 11.188, 11.300, 2.300, 3.500, 127, 127, 0.600, 0.600, 0.000, 0.000, 0.000, 0.000, 129.479, 123.800, 129.479, 123.800, 0.000, 0.000, 1.000, 0.000, Emulsão 1.15 = 123.8, 1, 0.000, 0.000, 0, 1, 30/06/2026. 19:39:01, 0.000, 0.000, 0.000, 0.000, , , , , , , , 0.000
204, , , thiago.ferreira@enaex.com, thiago.ferreira@enaex.com, 748828.710, 748828.710, 8930528.740, 8930528.740, 11.274, 10.800, 2.300, 3.000, 127, 127, 0.600, 0.600, 0.000, 0.000, 0.000, 0.000, 130.732, 135.100, 130.732, 135.100, 0.000, 0.000, 1.000, 0.000, Emulsão 1.15 = 135.1, 1, 0.000, 0.000, 0, 1, 30/06/2026. 19:37:34, 0.000, 0.000, 0.000, 0.000, , , , , , , , 0.000
205, , , thiago.ferreira@enaex.com, thiago.ferreira@enaex.com, 748827.100, 748827.100, 8930531.240, 8930531.240, 11.367, 10.500, 2.300, 3.000, 127, 127, 0.600, 0.600, 0.000, 0.000, 0.000, 0.000, 132.087, 118.000, 132.087, 118.000, 0.000, 0.000, 1.000, 0.000, Emulsão 1.15 = 118.0, 1, 0.000, 0.000, 0, 1, 30/06/2026. 19:36:04, 0.000, 0.000, 0.000, 0.000, , , , , , , , 0.000
206, , , thiago.ferreira@enaex.com, thiago.ferreira@enaex.com, 748825.500, 748825.500, 8930533.740, 8930533.740, 11.432, 11.100, 2.300, 3.500, 127, 127, 0.600, 0.600, 0.000, 0.000, 0.000, 0.000, 133.034, 113.700, 133.034, 113.700, 0.000, 0.000, 1.000, 0.000, Emulsão 1.15 = 113.7, 1, 0.000, 0.000, 0, 1, 30/06/2026. 20:10:39, 0.000, 0.000, 0.000, 0.000, , , , , , , , 0.000
